Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
195	268.52112	144.67606	 	218.85484	148.4758	 	170.28418	104.56475	 	162.40698	75.540695	*	149.32906	39.807693	*
196	267.27466	144.09859	 	217.604	148.092	 	170.58871	106.8629	*	167.4625	78.825	*	158.61852	43.122223	*
197	265.6555	143.70848	 	215.7683	147.5	 	170.66924	107.04615	*	171.53145	79.776726	*	166.41216	44.966217	*
198	263.82852	143.74188	 	213.72047	147.0433	 	169.81007	104.68604	*	174.26506	78.09036	*	173.2902	44.43007	 
199	261.75	143.96739	 	211.58661	146.27165	 	169.11429	100.13571	*	176.33333	74.655556	*	180.70161	42.66129	 
200	259.51108	144.2048	 	209.156	145.484	 	168.28322	94.26923	*	179.11363	70.42614	*	188.50793	39.873016	 
201	257.0539	144.3922	 	206.812	144.748	 	168.52759	88.155174	*	182.6875	66.25	*	197.42914	37.81496	 
202	254.80652	144.38506	 	204.375	143.70312	 	169.64685	82.465034	*	186.71875	62.6125	*	205.82787	36.598362	 
203	252.128	144.676	 	201.74219	142.69531	 	171.44406	76.947556	*	190.83333	59.04	*	213.80894	36.093494	 
204	249.84854	144.91078	 	199.37903	141.67741	 	174.32481	72.040146	*	195.80496	55.734043	*	222.03659	35.760162	 
205	247.30974	145.49115	 	196.95967	140.7258	 	178.48529	66.73529	*	201.05714	52.1	*	230.33594	34.992188	 
206	244.94292	146.30821	 	194.82259	139.91936	 	183.469	61.717052	*	206.93884	48.07554	*	238.38806	33.11194	 
207	242.51888	147.12737	 	192.652	139.252	 	189.31538	57.369232	*	213.50757	44.090908	*	246.53847	30.715385	 
208	240.26414	147.91982	 	190.788	138.372	 	194.80232	53.779068	*	219.74088	40.748177	*	253.94531	28.601562	 
209	238.29227	148.5	 	188.96825	137.42857	 	199.18	50.996	*	224.66788	37.30292	*	260.4453	26.28125	 
210	236.52325	148.9093	 	187.652	136.668	 	201.38373	48.794575	*	226.88	33.353333	*	263.28125	22.140625	 
211	235.11261	148.82883	 	186.652	135.668	 	201.11069	46.270992	*	225.98407	28.48726	*	261.3889	15.303419	 
212	233.8728	148.14912	 	185.68898	134.16142	 	196.50685	44.547947	*	219.90854	25.0	*	255.33333	13.816667	*
213	233.05508	146.73729	 	184.80708	132.54724	 	191.3138	43.893105	 	213.13803	23.309816	*	248.83333	13.2027025	*
214	232.10251	144.85565	 	183.884	131.284	 	186.83987	43.9183	*	207.68518	22.74074	*	242.89655	12.939655	*
215	231.67741	142.89516	 	183.316	129.436	 	182.23685	44.74342	*	202.43333	22.869698	*	237.05652	12.804348	*
216	231.33076	140.83076	 	182.91861	127.49225	 	177.84161	45.6118	*	196.65294	23.241177	*	231.18695	12.665217	*
217	231.32307	138.8077	 	182.91733	126.1063	 	173.45653	46.779503	*	191.4521	23.673653	*	225.3108	12.436937	*
218	231.78308	137.28676	 	182.7197	125.02273	 	169.51852	48.179012	*	186.16478	24.170454	*	219.50917	12.362386	*
219	232.06554	136.0206	 	183.15892	124.73256	 	165.97531	49.796295	*	181.06976	25.023256	*	213.5283	12.349056	*
220	232.89552	135.40298	 	183.67165	124.649254	 	162.65338	51.616566	*	176.19363	25.742775	*	207.8211	12.279817	*
